bér	nem
86.80933255643978	nő
193.90439562842096	nő
359.9569838762442	nő
273.0414017754273	nő
459.6266941997967	nő
248.37303571949172	nő
268.63555901774254	nő
122.7399604274398	nő
254.0106399762842	nő
169.10994129853432	nő
242.28751352959642	nő
191.60745602982416	nő
184.82943697306683	nő
373.0388809706129	nő
268.5885255877602	nő
198.25977575967025	nő
282.2423436150788	nő
212.09215319904902	nő
270.20121474340243	nő
477.2558776702663	nő
432.88887090971616	nő
186.48434701387654	nő
396.6323885176674	nő
287.8895447395571	nő
190.85566546428092	nő
339.3839045400011	nő
356.4162582297606	nő
443.7420149922651	nő
226.0114099539719	nő
469.50261597963936	nő
355.0934953501325	nő
276.47995760873914	nő
282.5997816684481	nő
-8.181367322473363	nő
210.8066759807628	nő
150.25947268487516	nő
474.5610640580086	nő
343.5281941945096	nő
152.3000837058618	nő
366.6917708713444	nő
263.400318585694	nő
345.9916887144606	nő
113.69085639850803	nő
503.3820990885248	nő
272.6877093591316	nő
532.5549227159372	nő
326.3808760430567	nő
304.4718212861867	nő
175.56494409178686	nő
640.2186736614628	nő
436.4472154422383	férfi
365.04648311357363	férfi
575.8642085589619	férfi
430.32798441393055	férfi
386.66715349869514	férfi
308.99894075241406	férfi
314.11333825420354	férfi
475.257875440805	férfi
419.498616064629	férfi
322.8362222451871	férfi
354.9505482287816	férfi
330.2900800690346	férfi
322.47666059178414	férfi
554.9172360327963	férfi
456.5788406339238	férfi
444.2238470030741	férfi
302.77479881295073	férfi
459.82998505597294	férfi
382.55273894170745	férfi
540.1683229882545	férfi
373.47992849047705	férfi
424.05405564494043	férfi
346.1841089068407	férfi
235.36596368037263	férfi
395.16827316975235	férfi
566.1939823475935	férfi
357.60604845043395	férfi
335.62605184037915	férfi
341.5326402205676	férfi
132.83086337786943	férfi
333.74147117912116	férfi
447.1787096458388	férfi
358.7235399668229	férfi
361.0973677866396	férfi
616.0025988040402	férfi
460.4966151312915	férfi
565.1377729690952	férfi
584.8905695528886	férfi
783.6908556215294	férfi
481.3020621434773	férfi
380.7038297620292	férfi
301.98358762723353	férfi
424.92719015007543	férfi
285.45669710423044	férfi
445.2483369189216	férfi
434.90144468042155	férfi
380.941216129286	férfi
531.0911045109933	férfi
398.30486453748534	férfi
676.2986200475829	férfi
