height_father	height_son
173.29735653004107	181.0564018133512
168.89287426485257	178.12272908514873
165.18920445993447	156.23850449167097
170.93730095950983	170.42919133035562
170.0612231498194	169.5144998203573
173.5614186933111	167.47467937300314
166.23137096206145	165.72917200887994
170.19094965554513	173.48691553942598
175.89210531664855	183.07152533894248
169.23398075387044	162.88752485759719
169.1915123345557	176.6029590502608
177.3013105599786	179.34824655136268
180.0472921822109	183.52124570309005
169.61030891096854	170.1726821151253
176.77171038632358	177.17515963764006
164.86408103817854	168.0019347611979
164.79412339814337	163.80466164276334
165.64688492407376	163.66467885048414
174.26565109141904	180.64802436013508
166.8861990329901	159.76169932178206
