x	y
9.778584118466824	1
5.6312281847931445	1
8.20772687671706	1
7.458753762766719	1
2.8905278630554676	0
6.405583929736167	0
2.496948246844113	0
6.31332196528092	1
2.2646023891866207	1
4.597590519115329	1
9.464510870166123	1
9.86085718497634	1
2.4753790465183556	0
8.281030314974487	1
2.5935784727334976	0
5.626087954733521	1
1.6332074557431042	0
1.4483270212076604	0
4.837986298371106	0
9.092902261763811	1
4.213906668592244	0
5.586105885449797	1
7.322525503113866	1
6.010027437005192	1
4.3010405683889985	1
4.273082676809281	1
1.1344005423597991	1
8.323123047593981	1
4.12973390892148	0
4.453783372882754	0
1.8395102815702558	0
1.1747625516727567	0
6.3374056201428175	1
1.6591759980656207	1
8.2911366247572	1
7.4222785490565	1
2.8884289762936532	0
2.8786063636653125	1
7.781286353711039	1
7.923374513629824	1
2.0842550648376346	1
0.5998735874891281	1
3.7581816036254168	0
7.015553929377347	1
4.2655579233542085	0
3.9934418722987175	0
8.85247475001961	1
0.32998316222801805	0
5.828198723029345	0
3.9825380709953606	0
1.5620647836476564	1
8.495358165819198	1
2.540811870712787	1
2.669249288737774	0
4.442424303852022	1
7.927428020630032	1
8.571217986755073	1
8.299669520929456	1
6.331108135636896	1
1.304898983798921	1
4.968683214392513	1
0.7883881265297532	1
0.16682498157024384	0
1.1972194141708314	1
0.5653218808583915	0
1.726150936447084	1
6.481623938307166	1
5.3243955271318555	1
1.6798163461498916	1
6.560307973995805	1
6.0664729960262775	1
2.1414534421637654	0
2.6645738631486893	1
9.037864017300308	1
6.999297738075256	1
7.441501610446721	1
9.74454146111384	1
4.73002788843587	0
1.483186180703342	1
0.18267050851136446	0
8.191483842674643	1
3.4374035708606243	1
9.615936449263245	1
9.108532527461648	1
5.8092062547802925	1
9.517747485078871	0
7.6702166511677206	1
5.037426433991641	0
9.04436772922054	1
5.028759751003236	1
9.793075134512037	1
2.890398201998323	1
4.553039474412799	1
6.727454024367034	0
0.8593025058507919	0
2.4578783055767417	0
4.798859879374504	1
3.509490059223026	1
8.31427494995296	1
6.924230025615543	1
