wage	gender
86.80933255643978	female
193.90439562842096	female
359.9569838762442	female
273.0414017754273	female
459.6266941997967	female
248.37303571949172	female
268.63555901774254	female
122.7399604274398	female
254.0106399762842	female
169.10994129853432	female
242.28751352959642	female
191.60745602982416	female
184.82943697306683	female
373.0388809706129	female
268.5885255877602	female
198.25977575967025	female
282.2423436150788	female
212.09215319904902	female
270.20121474340243	female
477.2558776702663	female
432.88887090971616	female
186.48434701387654	female
396.6323885176674	female
287.8895447395571	female
190.85566546428092	female
339.3839045400011	female
356.4162582297606	female
443.7420149922651	female
226.0114099539719	female
469.50261597963936	female
355.0934953501325	female
276.47995760873914	female
282.5997816684481	female
-8.181367322473363	female
210.8066759807628	female
150.25947268487516	female
474.5610640580086	female
343.5281941945096	female
152.3000837058618	female
366.6917708713444	female
263.400318585694	female
345.9916887144606	female
113.69085639850803	female
503.3820990885248	female
272.6877093591316	female
532.5549227159372	female
326.3808760430567	female
304.4718212861867	female
175.56494409178686	female
640.2186736614628	female
436.4472154422383	male
365.04648311357363	male
575.8642085589619	male
430.32798441393055	male
386.66715349869514	male
308.99894075241406	male
314.11333825420354	male
475.257875440805	male
419.498616064629	male
322.8362222451871	male
354.9505482287816	male
330.2900800690346	male
322.47666059178414	male
554.9172360327963	male
456.5788406339238	male
444.2238470030741	male
302.77479881295073	male
459.82998505597294	male
382.55273894170745	male
540.1683229882545	male
373.47992849047705	male
424.05405564494043	male
346.1841089068407	male
235.36596368037263	male
395.16827316975235	male
566.1939823475935	male
357.60604845043395	male
335.62605184037915	male
341.5326402205676	male
132.83086337786943	male
333.74147117912116	male
447.1787096458388	male
358.7235399668229	male
361.0973677866396	male
616.0025988040402	male
460.4966151312915	male
565.1377729690952	male
584.8905695528886	male
783.6908556215294	male
481.3020621434773	male
380.7038297620292	male
301.98358762723353	male
424.92719015007543	male
285.45669710423044	male
445.2483369189216	male
434.90144468042155	male
380.941216129286	male
531.0911045109933	male
398.30486453748534	male
676.2986200475829	male
