wage	edu	gender
452.38445649559134	15.526606253975068	m
382.45354404279624	13.96821432330744	f
428.33469645712086	16.116033326605532	f
488.78658557078063	16.29196390742444	m
365.3607896528041	15.698236087332747	m
407.5763628254676	17.355581216588742	f
399.20031734907553	15.026742307628513	f
462.88836076660186	15.697662056345536	m
253.76309543151893	11.811856362131433	f
368.25608585323175	16.760815660400304	m
431.785376381423	18.16724955150171	m
362.16103070023013	15.810912358045023	m
476.4314825858853	18.05277994499701	f
349.20856474342514	15.29143640684066	f
343.78527401774977	16.38724222874859	m
301.2055164762131	15.456219172478882	f
504.22854170613834	17.61337461543862	f
463.7812321168714	16.15189654045317	m
359.14106343813864	14.243855783412853	f
413.79934072408355	18.349904184847137	m
340.78160196908584	15.136313457374582	m
389.11507659821433	14.865620920153946	f
458.1647144246675	16.97590603851831	m
324.2354819946843	15.162905493005793	m
324.96792038639734	13.667401898733416	m
354.3698829140603	17.476949191216736	f
303.4598701827809	14.040069430912373	f
398.4701087041221	14.958790018854376	f
392.3125503741578	17.64608470785767	f
408.71483801141926	14.987379936026255	m
361.99492256469813	16.53667087651259	f
415.74374223055327	18.53499620265216	m
478.6968659379293	16.423650284308035	m
451.9696472070966	16.566591529074476	f
404.29901479023783	14.85403893356297	m
354.00760871638164	17.848177558947576	m
468.46034901689376	17.777362401134376	f
487.1553970710107	16.869881029612248	f
344.9506281281524	12.99914807309464	m
368.92704715772436	15.109143453205709	f
300.57545712175096	16.670295026322552	f
535.6670277050165	16.703289397885758	m
366.48399841438993	14.617896649028367	m
335.7747312405091	14.138665194634125	m
304.9865685492854	13.9007953078341	f
432.55219754576206	16.126919753588545	m
320.4219483070495	16.147031537717023	f
325.1703804520433	11.37383679132353	m
369.6823173436779	17.605906985705627	f
382.0436006186872	14.792695906044422	m
484.55806063473335	17.236306089808835	m
472.8833690579767	16.65944869887371	f
412.592685481945	14.553610455373002	m
515.5052460273433	15.130548083259479	m
301.52159692601555	14.62540764766681	m
323.3916595176382	15.00819879190459	f
429.2731589577541	18.014674408586355	m
373.8938388087	18.22678635883389	f
442.2875296627316	16.253533831146193	f
292.62416845776517	10.938891866666228	m
299.2197121550058	14.785058610833099	m
455.10854331980556	16.350286475743765	f
515.184930580428	15.565195533772638	m
370.68667926135424	17.04653976057058	f
491.6056329760642	16.771245276197558	f
385.57718343285813	13.784700548536318	m
295.65637787141054	15.382661944828241	f
537.3800364727725	18.239624664409508	m
381.8202162872873	15.490120586990802	m
472.44646682142707	17.735404982313312	m
384.19673201118877	17.56806096498046	f
466.7708154688198	18.228414927756713	m
290.07256024197704	15.840572170506057	f
308.9636962229161	13.361582156072402	f
483.8714742801514	16.751885837414818	m
310.88616212111805	13.545093969340957	m
271.5337272488381	11.87983612478472	f
363.3308398117736	15.931962295619607	m
385.73586926852647	14.463511923350884	m
348.1385986613552	16.876825406456273	f
