wage	edu	gender
452.38445649559134	15.526606253975068	m
317.54645595720376	13.96821432330744	f
271.66530354287914	16.116033326605532	f
488.78658557078063	16.29196390742444	m
365.3607896528041	15.698236087332749	m
292.4236371745324	17.355581216588742	f
300.79968265092447	15.026742307628512	f
462.88836076660186	15.697662056345536	m
446.2369045684811	11.811856362131431	f
368.25608585323175	16.760815660400304	m
431.785376381423	18.16724955150171	m
362.1610307002302	15.810912358045025	m
223.5685174141147	18.05277994499701	f
350.79143525657486	15.29143640684066	f
343.78527401774977	16.38724222874859	m
398.7944835237869	15.456219172478882	f
195.77145829386166	17.61337461543862	f
463.7812321168714	16.15189654045317	m
340.85893656186136	14.243855783412853	f
413.7993407240835	18.349904184847137	m
340.78160196908584	15.136313457374582	m
310.88492340178567	14.865620920153946	f
458.1647144246675	16.97590603851831	m
324.2354819946843	15.162905493005791	m
324.96792038639734	13.667401898733416	m
345.6301170859397	17.476949191216736	f
396.5401298172191	14.040069430912371	f
301.5298912958779	14.958790018854376	f
307.6874496258422	17.64608470785767	f
408.71483801141926	14.987379936026256	m
338.0050774353018	16.53667087651259	f
415.74374223055327	18.53499620265216	m
478.6968659379293	16.423650284308035	m
248.0303527929034	16.566591529074476	f
404.29901479023783	14.85403893356297	m
354.00760871638164	17.848177558947576	m
231.53965098310624	17.777362401134376	f
212.84460292898927	16.869881029612248	f
344.9506281281524	12.99914807309464	m
331.0729528422757	15.109143453205707	f
399.42454287824904	16.670295026322552	f
535.6670277050165	16.703289397885758	m
366.48399841438993	14.617896649028369	m
335.7747312405091	14.138665194634124	m
395.0134314507146	13.9007953078341	f
432.55219754576206	16.126919753588545	m
379.5780516929505	16.147031537717023	f
325.1703804520433	11.37383679132353	m
330.3176826563221	17.605906985705627	f
382.0436006186872	14.792695906044422	m
484.55806063473335	17.236306089808835	m
227.11663094202328	16.65944869887371	f
412.592685481945	14.553610455373002	m
515.5052460273433	15.13054808325948	m
301.52159692601555	14.62540764766681	m
376.6083404823618	15.00819879190459	f
429.2731589577541	18.014674408586355	m
326.1061611913	18.22678635883389	f
257.7124703372684	16.253533831146193	f
292.62416845776517	10.938891866666228	m
299.2197121550058	14.7850586108331	m
244.89145668019438	16.350286475743765	f
515.184930580428	15.565195533772638	m
329.31332073864576	17.04653976057058	f
208.39436702393579	16.771245276197558	f
385.57718343285813	13.784700548536318	m
404.34362212858946	15.38266194482824	f
537.3800364727725	18.239624664409508	m
381.8202162872873	15.490120586990802	m
472.44646682142707	17.735404982313312	m
315.80326798881123	17.56806096498046	f
466.7708154688198	18.228414927756713	m
409.92743975802296	15.840572170506055	f
391.0363037770839	13.361582156072402	f
483.8714742801514	16.751885837414818	m
310.88616212111805	13.545093969340956	m
428.4662727511619	11.87983612478472	f
363.3308398117736	15.931962295619607	m
385.73586926852647	14.463511923350884	m
351.8614013386448	16.876825406456273	f
