height_father	orig_father	height_son
155.75135183634993	ind	148.8488296104857
156.24578063639728	ind	144.9068325993876
177.84083348407302	ned	192.25133706291098
176.76117105868633	ned	164.54253305674519
148.36393191969339	ind	153.2525502659971
152.40228376481147	ind	151.65998841998564
180.19509667949055	ned	177.56651788902704
149.0304583978571	ind	160.07673677911163
149.77263131235264	ind	156.4474172779406
153.0985604983024	ind	163.4286642272226
174.67827201415318	ned	175.38953522745985
179.8346669423962	ned	171.83780876794924
177.86139267304577	ned	167.900938096397
150.4726490710363	ind	135.758921392864
156.12636666784485	ind	143.20890229700555
183.7879484373268	ned	191.31873967993374
179.0194377073858	ned	180.1939592164781
181.34230005814675	ned	175.6088646969663
147.93292762921092	ind	140.19106415309844
190.33823655790965	ned	182.96697994334008
181.96491114668154	ned	183.57563258254507
181.39961119232228	ned	181.546154540996
147.62704750372174	ind	151.30880181759673
151.92502022301653	ind	155.68065041024113
183.2998478886281	ned	182.5293608436902
181.8948441573121	ned	184.12534671059626
150.5774757194552	ind	150.14127439570012
182.25751468240293	ned	194.71570418708967
155.5879776769885	ind	163.34410820702175
180.8966348163905	ned	186.34092219240316
176.62933461362312	ned	189.66460135992432
154.8668883495748	ind	164.85481289557814
186.59605255321722	ned	193.9521551408724
181.57245823334765	ned	173.66882428446647
183.06170261890992	ned	168.14707591391533
148.5006849894433	ind	150.70074683829608
145.6598945809995	ind	145.5070678783116
148.7555632812212	ind	148.40569048209665
153.8153428324768	ind	143.36913614499286
145.09454395862278	ind	156.1592528317867
178.41067809018116	ned	171.14300087897848
180.19282123285572	ned	186.86768111984472
154.46740834933672	ind	144.7431096058056
152.8313373357088	ind	141.74622616982393
150.36792127653024	ind	161.55346065531484
144.9642912234142	ind	134.55744563890244
176.77619356969112	ned	187.88440083227792
151.85783343225353	ind	139.38339782248818
185.3537019579757	ned	173.5903325658377
177.9052181765961	ned	189.21538894675322
