word	lfpm10r	correct	n
abszint	-0.659	TRUE	1
adszorbens	-1.303	TRUE	1
aggófű	-1.365	TRUE	1
alfél	-2.365	TRUE	1
alkalom	1.587	TRUE	1
anorák	-1.335	TRUE	1
arzénsav	-2.408	TRUE	1
ausztrál	1.198	TRUE	1
bacon	0.189	TRUE	1
bajadér	-1.417	TRUE	1
bajuszfű	-2.967	TRUE	1
balközép	-0.179	TRUE	1
barát	1.221	TRUE	1
beton	1.056	TRUE	1
biliárd	-0.011	TRUE	1
bizmut	-0.988	TRUE	1
bolgár	1.03	TRUE	1
ború	-0.485	TRUE	1
bárányfark	-3.092	TRUE	1
bélyeg	0.274	TRUE	1
cianid	-0.711	TRUE	1
csapattest	-1.301	TRUE	1
csapdáz	-3.268	TRUE	1
csatázik	-0.489	TRUE	1
csengettyű	-0.622	TRUE	1
csontdarab	-1.165	TRUE	1
csüggedez	-2.756	TRUE	1
csüggeszt	-1.753	TRUE	1
cugehőr	-2.916	FALSE	1
darab	2.044	TRUE	1
derít	0.012	TRUE	1
diffamál	-3.393	FALSE	1
diktátor	0.599	TRUE	1
dipeptid	-1.46	TRUE	1
diviz	-2.569	TRUE	1
dolgozik	1.948	TRUE	1
dolog	2.387	TRUE	1
donhuán	-2.472	TRUE	1
dádá	-1.428	TRUE	1
délceg	-0.228	TRUE	1
döföl	-2.724	TRUE	1
elegy	-1.266	TRUE	1
ellenfél	1.362	TRUE	1
eszköz	1.983	TRUE	1
extrém	1.384	TRUE	1
fajansz	-0.829	TRUE	1
farkasbab	-2.154	TRUE	1
fertilis	-1.185	TRUE	1
forgórész	-0.244	TRUE	1
forrpont	-1.542	TRUE	1
fürkész	-0.829	TRUE	1
gazdag	1.977	TRUE	1
genom	0.016	TRUE	1
gerencsér	-1.63	TRUE	1
glosszáz	-3.569	TRUE	1
glükóz	0.41	TRUE	1
grafikon	0.471	TRUE	1
gyapot	-0.198	TRUE	1
gyülemlik	-1.145	TRUE	1
gyűjtemény	1.112	TRUE	1
hajlik	0.575	TRUE	1
hatalom	1.658	TRUE	1
heveny	0.516	TRUE	1
hidegház	-2.509	TRUE	1
hidroxid	-0.536	TRUE	1
horizont	0.296	TRUE	1
hálózsák	-0.037	TRUE	1
hübrisz	-0.863	FALSE	1
időszak	1.939	TRUE	1
ifjít	-3.092	TRUE	1
igény	1.885	TRUE	1
infimum	-2.339	FALSE	1
ingváll	-1.276	TRUE	1
ion	0.155	TRUE	1
irány	1.373	TRUE	1
iszlám	1.246	TRUE	1
jármű	1.595	TRUE	1
kalcium	1.004	TRUE	1
