height_father	height_son
170.23223900712554	160.94096569355105
168.47379573377515	167.60911877489383
172.3686318973965	179.65323742376185
177.5722679346994	183.52431694885794
178.1320293832104	169.92816753941582
177.60342327745667	177.67197439314833
173.45088706378309	166.50103270568368
174.26758774737763	168.37637994154292
181.5234155723905	188.39192711786234
168.69530054064597	161.35546017227824
170.7361115503675	168.34012447275134
175.22286660330337	170.18289016852123
170.97374050133357	176.19685854949483
175.19866098982982	184.29172499438516
166.0886602824818	162.49037965427001
167.94893894900034	169.99891554095248
177.71485149346128	184.47665453839883
178.94598412952809	175.28777893326668
172.31843393820841	178.03744733392764
172.955228833302	182.02229915913853
169.5676081534546	174.37764625065736
178.73640790085653	172.26755149632106
176.9389138952678	173.5623683477601
174.4741839569408	182.81125442854795
181.05733810166927	182.3412151372722
